transcript1;transcript2;score
Xvis02_25080;Xvis02_25072;0.420705523926957
Xvis02_25080;Xvis02_25050;-0.322115640923658
Xvis02_25080;Xvis02_25032;-0.239303402890237
Xvis02_25080;Xvis02_25027;0.725775177460181
Xvis02_25073;Xvis02_25072;-0.437090860252391
Xvis02_25073;Xvis02_25069;0.747119339784559
Xvis02_25073;Xvis02_25064;-0.512276756460721
Xvis02_25073;Xvis02_25042;-0.33826393459846
Xvis02_25073;Xvis02_25032;-0.25830207275283
Xvis02_25073;Xvis02_25031;0.71464741236587
Xvis02_25073;Xvis02_25030;0.621348027691594
Xvis02_25073;Xvis02_25026;-0.577802357981315
Xvis02_25073;Xvis02_25023;0.554487278976778
Xvis02_25072;Xvis02_25069;-0.588804349914821
Xvis02_25072;Xvis02_25064;0.481267066066492
Xvis02_25072;Xvis02_25050;-0.378429386254116
Xvis02_25072;Xvis02_25042;0.261331791679811
Xvis02_25072;Xvis02_25031;-0.48921600556288
Xvis02_25072;Xvis02_25030;-0.724550110263803
Xvis02_25072;Xvis02_25027;0.613765143873041
Xvis02_25072;Xvis02_25026;0.641910335595256
Xvis02_25072;Xvis02_25023;-0.485528184951349
Xvis02_25069;Xvis02_25064;-0.651032236636524
Xvis02_25069;Xvis02_25050;-0.220052517961636
Xvis02_25069;Xvis02_25042;-0.51061070120144
Xvis02_25069;Xvis02_25032;-0.3369923213706
Xvis02_25069;Xvis02_25031;0.701823650021169
Xvis02_25069;Xvis02_25030;0.802899959654645
Xvis02_25069;Xvis02_25027;-0.227331640496423
Xvis02_25069;Xvis02_25026;-0.73870214672654
Xvis02_25069;Xvis02_25023;0.802260043658797
Xvis02_25064;Xvis02_25031;-0.572185540653629
Xvis02_25064;Xvis02_25030;-0.74248257424444
Xvis02_25064;Xvis02_25026;0.788776851907775
Xvis02_25064;Xvis02_25023;-0.460209400523146
Xvis02_25050;Xvis02_25042;0.58544697456154
Xvis02_25050;Xvis02_25032;0.625375392287226
Xvis02_25050;Xvis02_25027;-0.237051314894664
Xvis02_25042;Xvis02_25032;0.342520863726442
Xvis02_25042;Xvis02_25030;-0.583808256771294
Xvis02_25042;Xvis02_25026;0.221839361997792
Xvis02_25042;Xvis02_25023;-0.51598599923885
Xvis02_25032;Xvis02_25031;-0.223089007251065
Xvis02_25032;Xvis02_25023;-0.380538175535723
Xvis02_25031;Xvis02_25030;0.564308497307232
Xvis02_25031;Xvis02_25027;-0.233994700551971
Xvis02_25031;Xvis02_25026;-0.594146244516362
Xvis02_25031;Xvis02_25023;0.532566276895947
Xvis02_25030;Xvis02_25027;-0.313032642863134
Xvis02_25030;Xvis02_25026;-0.750267376551707
Xvis02_25030;Xvis02_25023;0.678229532940371
Xvis02_25026;Xvis02_25023;-0.557306708196876
